MSAs
"Omaha-Council Bluffs, NE-IA MSA"
"McAllen-Edinburg-Mission, TX MSA"
"Des Moines-West Des Moines, IA MSA"
"Salisbury, MD-DE MSA"
"Hagerstown-Martinsburg, MD-WV MSA"
"Merced, CA MSA"
"Kalamazoo-Portage, MI MSA"
"Appleton, WI MSA"
"Lafayette-West Lafayette, IN MSA"
"Burlington-South Burlington, VT MSA"
"Chico, CA MSA"
"Charlottesville, VA MSA"
"Las Cruces, NM MSA"
"Lake Havasu City-Kingman, AZ MSA"
"Columbia, MO MSA"
"Springfield, IL MSA"
"Iowa City, IA MSA"
"Abilene, TX MSA"
"Bloomington, IL MSA"
"Burlington, NC MSA"
"Eau Claire, WI MSA"
"Janesville-Beloit, WI MSA"
"Chambersburg-Waynesboro, PA MSA"
"Elizabethtown-Fort Knox, KY MSA"
"Niles, MI MSA"
"Hanford-Corcoran, CA MSA"
"Bangor, ME MSA"
"Idaho Falls, ID MSA"
"Winchester, VA-WV MSA"
"Sherman-Denison, TX MSA"
"Jonesboro, AR MSA"
"Bismarck, ND MSA"
"St. Joseph, MO-KS MSA"
"Farmington, NM MSA"
"Beckley, WV MSA"
"Sheboygan, WI MSA"
"Muncie, IN MSA"
"Williamsport, PA MSA"
"Mankato, MN MSA"
"Dubuque, IA MSA"
"Fairbanks, AK MSA"
"Cape Girardeau, MO-IL MSA"
"Elmira, NY MSA"
"Midland, MI MSA"
"Kokomo, IN MSA"
"Carson City, NV MSA"
