State,S_0,I_0,m_b,rel_E,rel_A,k_L,k_Q,j_Q,f_A,f_H,f_R,c_A,c_I,c_H,t_0,t_delta,t_delta2,beta,lambda_0,p_0,lambda_1,p_1,f_D,r
Alabama,4903185,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,45.2923769129512,1.75401798652338,,1.71369721989281,0.182538025040204,0.869450620535645,,,0.886676415473838,7.54720964151152
Alaska,731545,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,29.7687735122101,27.6621549151727,54.4798321095881,0.583316554343328,0.436162655118281,0.582293868560232,0.25569463929585,0.159466570930949,0.00281390977959275,6.00058991045483
Arizona,7278717,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,32.296614914896,27.4468423976566,62.7895551736277,0.516855858286407,0.376090771027054,0.555857108269525,3.81902538553861,0.397849858087167,0.110158835007922,10.1498924658421
Arkansas,3017804,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,40.6476217308548,16.208898916781,,0.619685246872846,4.03266004040966,0.547636044016891,,,0.884739518928871,2.59147138423838
California,39512223,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,7.81367435809073,13.8157519344923,78.2361510833523,0.475531150153369,0.0163630342053209,0.990245994297957,9.83779476001916,0.428189300684956,0.0342179901226822,10.5771653404423
Colorado,5758736,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,33.8828806210422,6.45442152335914,,1.0854216836739,0.105241046153668,0.826256765470805,,,0.0750049747500252,11.2549886371278
Connecticut,3565287,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,41.0801826543496,7.0316184527018,,0.866105878985442,0.0849832079454379,0.835609560027373,,,0.763569740900317,3.76191582995746
Delaware,973764,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,39.0704349940274,1.44051355771035,,1.14357406679248,0.0928267022376625,0.811526421283807,,,0.0758751046188533,3.78605848863711
Florida,21477737,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,29.4243368285119,31.4452423158984,60.0826100671908,0.450239859451424,0.31276465219678,0.567216073447023,0.0367593284731564,0.488670213560818,0.921037212443727,11.3675154700986
Georgia,10617423,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,29.8720512198609,29.2407441435756,,0.437021188768798,0.19876595417416,0.570147511513653,,,0.982701399175084,6.7095676076115
