Metropolitan_Statistical_Area,beta_JantoJun2020_MAP,beta_JantoJul2020_MAP,beta_JantoAug2020_MAP,beta_JantoSep2020_MAP
"New York City-Newark-Jersey City, NY-NJ-PA MSA",1.80495515071326,2.02093654161491,1.30080139040839,1.48132183867795
"Los Angeles-Long Beach-Anaheim, CA MSA",0.386980747649913,0.889467779116683,0.370723067419515,0.364516633782966
"Chicago-Naperville-Elgin, IL-IN-WI MSA",0.559297894154079,0.557014233073225,0.477872003208318,0.516409515268394
"Dallas-Fort Worth-Arlington, TX MSA",0.5670761958822,0.532164571604375,0.484361069566749,0.467235085270849
"Houston-The Woodlands-Sugar Land, TX MSA",0.369011597388145,0.369559436559445,0.347639809682455,0.354581487326284
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",0.83763144881848,0.382561837665019,0.727103213171852,0.70908262428419
"Miami-Fort Lauderdale-West Palm Beach, FL MSA",0.482773659080124,1.09379077796716,0.460152751647978,0.424328438214049
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",0.441367287294192,0.929435932172084,0.409691264873906,0.995080673606497
"Atlanta-Sandy Springs-Alpharetta, GA MSA",0.758756451018416,0.450330578082049,0.396326049563716,0.381807180406629
"Phoenix-Mesa-Chandler, AZ MSA",0.510840672828756,0.489867266641756,0.639619786142438,0.4479480933717
"Boston-Cambridge-Newton, MA-NH MSA",1.07942156392057,0.819180855202278,2.07540386496661,1.94278197948868
"San Francisco-Oakland-Berkeley, CA MSA",0.689122796011608,0.75994276059593,0.278263423076689,0.278433173851815
"Riverside-San Bernardino-Ontario, CA MSA",0.384348238190503,0.381882382777482,0.359215087187016,0.352112643251497
"Detroit–Warren–Dearborn, MI MSA",0.876164397345373,0.82999986310483,0.828302191462926,0.76810892012057
"Seattle-Tacoma-Bellevue, WA MSA",0.912857977371064,1.30620364019752,1.71062695898788,2.11008634871783
"Minneapolis-St. Paul-Bloomington, MN-WI MSA",0.452446986943537,0.713644599412554,0.431519176292675,0.43106305209061
"San Diego-Chula Vista-Carlsbad, CA MSA",0.980321508919778,0.853745499599898,1.23351576981101,1.18356483980445
"Tampa-St. Petersburg-Clearwater, FL MSA",0.417016065820397,0.437320430337384,0.413684310842341,0.446470261190731
"Denver-Aurora-Lakewood, CO MSA",0.639566835968593,0.866336085560622,0.344107710033225,1.42223257523467
"St. Louis, MO-IL MSA",0.556222144087868,0.544043536025505,0.579122027558739,0.538060713891967
"Baltimore-Columbia-Towson, MD MSA",0.429097639358715,0.805579975417778,0.417692134160205,0.405754232342453
"Charlotte-Concord-Gastonia, NC-SC MSA",0.550661047244009,0.521002637031966,0.467542053598323,0.541501099811713
"Orlando-Kissimmee-Sanford, FL MSA",1.16083822004846,0.76458232942026,1.29651200393893,0.958806652418166
"San Antonio-New Braunfels, TX MSA",0.25965310751715,0.261708336396612,1.51115752337104,0.229139832417079
"Portland-Vancouver-Hillsboro, OR-WA MSA",0.343367132481699,0.357142410213796,0.320372290996156,0.326710979467987
"Sacramento-Roseville-Folsom, CA MSA",0.559721218604305,0.487422108716378,0.249935234889028,0.248379877965002
"Las Vegas-Henderson-Paradise, NV MSA",0.516060868286036,2.84387941194933,0.574041134727672,0.742696249891629
"Pittsburgh, PA MSA",0.443162545971326,0.40066545658909,0.411868836608506,0.376956217111655
"Austin-Round Rock-Georgetown, TX MSA",0.654863013125072,0.690417580007219,2.73256458787142,0.619213978311493
"Cincinnati, OH-KY-IN MSA",1.53937712748124,0.718173965952706,0.591117040916348,0.555803494072545
"Kansas City, MO-KS MSA",0.56272199907282,0.528714772968558,0.394275094779883,0.378019865116068
"Columbus, OH MSA",0.886086784232159,0.885894699902514,0.638650328988086,1.15324434574992
"Indianapolis-Carmel-Anderson, IN MSA",0.50590431013812,0.514262971023395,0.514522480850141,0.488526708072894
"Cleveland-Elyria, OH MSA",0.515335194481281,0.486257204667498,0.43740188800008,0.489966873139113
"San Jose-Sunnyvale-Santa Clara, CA MSA",0.613597722598573,0.57969434372905,0.354988127735775,0.257522290934093
"Nashville-Davidson–Murfreesboro–Franklin, TN MSA",0.531583117353922,0.944142269231009,0.515607411694269,0.451467381631828
"Virginia Beach-Norfolk-Newport News, VA-NC MSA",0.369022763111809,0.381166238457275,0.307198234784332,0.383296617546237
"Providence-Warwick, RI-MA MSA",0.661167785516551,0.980797942309549,0.611623949817392,0.647893766111589
"Jacksonville, FL MSA",0.795863092563212,0.862465284084861,0.893314240934784,0.767016921779022
"Milwaukee-Waukesha, WI MSA",0.409732333634937,2.28847487005381,0.432750250924616,0.402794800805958
"Oklahoma City, OK MSA",1.22328372710025,1.55934863015553,1.01026377128534,0.795392292763103
"Raleigh-Cary, NC MSA",0.3102813987218,0.30590680380468,0.302465944232171,0.303237193503395
"Memphis, TN-MS-AR MSA",0.708540347361865,0.697820419452443,0.63134881787105,0.626470627805015
"Richmond, VA MSA",0.355840744817819,0.365756047982707,1.04036742224606,0.332543283237906
"New Orleans-Metairie, LA MSA",1.01648905961876,1.2586494276276,1.15251019943861,1.23486521504751
"Louisville/Jefferson County, KY-IN MSA",0.385841880795635,0.388662098833941,0.361105237622461,0.373800650293992
"Salt Lake City, UT MSA",0.422610186502569,1.62161719255306,0.387968207056857,0.352997550163176
"Hartford-East Hartford-Middletown, CT MSA",0.954020893313352,1.45201968593914,1.62267921600512,2.45376531115463
"Buffalo-Niagara Falls, NY MSA",0.527739959755924,2.11038645328863,0.727211155381527,0.475018884554401
"Birmingham-Hoover, AL MSA",1.32536298469563,1.91292318495398,1.81970369443992,2.0374512216932
