Metropolitan_Statistical_Area,S_0,I_0,m_b,rel_E,rel_A,k_L,k_Q,j_Q,f_A,f_H,f_R,c_A,c_I,c_H,t_0,t_delta,t_delta2,t_delta3,b,lambda_0,p_0,lambda_1,p_1,lambda_2,p_2,f_D,r
"St. Louis, MO-IL MSA",2803228,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,39.2988562644045,21.9201270287211,,,0.533982547566627,0.259475314210141,0.62731887839913,,,,,0.489146037791272,5.3650649124774
"Baltimore-Columbia-Towson, MD MSA",2800053,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,26.0519549496503,36.9704468552903,,,0.42698347472893,0.298437953786725,0.479128305341516,,,,,0.0433605479589588,9.0511441810138
"Charlotte-Concord-Gastonia, NC-SC MSA",2636883,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,41.1383998411163,17.1549788220083,41.2574039807618,,0.550661047244009,0.243975383213191,0.642716169735137,0.86079151947777,0.514779243097572,,,0.929376944326523,7.15680344884891
"Orlando-Kissimmee-Sanford, FL MSA",2608147,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,44.4846742235787,2.927033521296,36.7638668442016,,1.02938489591589,0.0793387957218721,0.96960635533693,0.0034326358751016,0.166163881197515,,,0.674970444370597,7.17516055818549
"San Antonio-New Braunfels, TX MSA",2550960,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,13.8305501778715,58.4106512916565,49.7362858846953,,0.25965310751715,5.7259228117621,0.301055474128778,0.395581671228256,0.103182495383002,,,0.505699185307472,1.91238657753212
"Portland-Vancouver-Hillsboro, OR-WA MSA",2492412,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,29.2795694128249,31.740676177723,57.0827561070288,,0.343367132481699,0.309008079961988,0.484582291185439,3.6349331735482,0.320648301770887,,,0.972416208700582,9.73044648361032
"Sacramento-Roseville-Folsom, CA MSA",2363730,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,14.9700694590245,4.5902762285968,76.9788189813434,,0.558038052170796,0.0205571618868546,0.977032932091704,0.0431940550973412,0.435704043439227,,,0.00779191942888959,3.24856197437435
"Pittsburgh, PA MSA",2317600,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,41.0021894519815,20.1590760626771,,,0.508382506405371,0.387762485303373,0.607266077236063,,,,,0.909309516681694,5.26323263919464
"Las Vegas-Henderson-Paradise, NV MSA",2266715,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,34.1458697683014,26.6123363890632,,,0.421437074967485,0.692104326937159,0.481718810027366,,,,,0.925775606411341,1.93321007077289
"Austin-Round Rock-Georgetown, TX MSA",2227083,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,45.0092193163645,3.60168805115709,84.8471790667944,,1.02394181718066,0.14931622891296,0.80494693197737,5.29399208011963,0.563906194624641,,,0.887645650087919,4.24832218707481
"Cincinnati, OH-KY-IN MSA",2221208,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,46.5151845867965,1.44209947127539,,,1.20929679152773,0.132812319568215,0.841066185285969,,,,,0.891657447387366,9.40865964104936
"Kansas City, MO-KS MSA",2157990,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,39.2382696128034,14.6500029311054,,,0.521839756705752,0.129951027302653,0.655135602169527,,,,,0.660920158373363,3.17918369448677
"Columbus, OH MSA",2122271,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,46.8396110066761,3.19120726728587,,,0.97571334892305,0.107356469171758,0.824200007674842,,,,,0.958759535007656,6.56488815223316
"Indianapolis-Carmel-Anderson, IN MSA",2074537,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,30.4307367166588,32.7590494402875,,,0.505671710619956,0.849218207038622,0.504026436975485,,,,,0.0548862561269427,9.42583116274927
"Cleveland-Elyria, OH MSA",2048449,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,28.6464642728437,27.9120747396057,,,0.495109762470311,0.319469610816741,0.559286144711879,,,,,0.0573572395289442,10.0614124629657
"San Jose-Sunnyvale-Santa Clara, CA MSA",1990660,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,28.7631849895029,1.17495666184697,62.211611987225,,0.660323930646042,0.0472941607767341,0.889597884575105,0.0576573960140481,0.697730513702977,,,0.906244494738945,2.84918936094381
"Nashville-Davidson–Murfreesboro–Franklin, TN MSA",1934317,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,36.7216594688938,16.1862768421173,,,0.532034844546659,0.156835955783254,0.63992864953433,,,,,0.993690147065193,3.11659679682147
"Virginia Beach-Norfolk-Newport News, VA-NC MSA",1768901,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,38.7427520079553,28.9104149528778,,,0.384487379118123,7.57185015834827,0.43572637959125,,,,,0.904911483951392,6.31785862494015
"Providence-Warwick, RI-MA MSA",1624578,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,40.5397842555647,24.0777211609134,,,0.673263976120768,5.72253152092446,0.516224996467741,,,,,0.0503111099862767,1.37890832533802
"Milwaukee-Waukesha, WI MSA",1575179,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,37.3543561020515,15.5606873720428,32.6471576677062,,0.846392564598289,0.196587224156832,0.766945498122829,0.0385368364773579,0.652668149221839,,,0.0333766846600989,7.12660299866942
"Jacksonville, FL MSA",1559514,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,35.0802370160237,11.7005867347964,47.3711312699414,47.1953221898103,0.66997584367488,0.0533587594164986,0.964185147798351,5.49199535785902,0.563520762168003,2.66812044186086,0.225724100789378,0.0468894673619858,8.02989989201492
"Oklahoma City, OK MSA",1408950,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,46.1452975086048,4.25584076068818,84.3811406513601,,1.05540214893212,0.163131264294657,0.823257486324855,1.86434798582791,0.557508706717513,,,0.719903506170758,4.42324375280448
"Raleigh-Cary, NC MSA",1390785,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,29.9322886625986,32.0906970893725,,,0.315084938861154,3.56254908345112,0.323553909365482,,,,,0.974399623938303,3.00178869871715
