Metropolitan_Statistical_Area,S_0,I_0,m_b,rel_E,rel_A,k_L,k_Q,j_Q,f_A,f_H,f_R,c_A,c_I,c_H,t_0,t_delta,t_delta2,t_delta3,b,lambda_0,p_0,lambda_1,p_1,lambda_2,p_2,f_D,r
"Toledo, OH MSA",641816,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,42.3348105936452,19.4912415649466,,,0.726334496395016,0.606943837785902,0.594325191588137,,,,,0.0201892774412342,10.9503208039071
"Wichita, KS MSA",640218,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,46.6319610648706,17.8936494519091,,,0.465920561389946,6.85303553967328,0.498029413450266,,,,,0.829489198516686,2.26078256971941
"Augusta-Richmond County, GA-SC MSA",608980,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,49.1565430874648,2.55039351593826,,,0.963066643373637,0.139814839660919,0.808009798330133,,,,,0.874801399607855,2.60807694479705
"Palm Bay-Melbourne-Titusville, FL MSA",601942,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,48.2688871089757,5.80450319873647,75.8657893200695,,0.696287339466309,0.129330481833856,0.763333852189974,3.45765302720771,0.410253133527022,,,0.507485777712761,3.96420785960208
"Jackson, MS MSA",594806,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,36.3102748839375,21.9534956284526,,,0.605538100563242,4.33084385842983,0.520959119647919,,,,,0.0356688768993139,2.41211375590052
"Harrisburg-Carlisle, PA MSA",577941,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,38.0349530841425,26.701421694879,,,0.331817862840549,0.127022755694975,0.496533528842937,,,,,0.964914105874819,16.0157292033421
"Spokane-Spokane Valley, WA MSA",568521,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,6.22466820965963,56.9648438230245,41.8333245608853,,0.322496605988707,9.2585865072365,0.39719921932947,7.56095047717487,0.0934291846633283,,,0.00546148710170085,1.73309242161718
"Chattanooga, TN-GA MSA",565194,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,45.3543404535637,16.0984520024172,,,0.470573820802976,9.79537095490785,0.446687847631727,,,,,0.640277300443,2.31153972573542
"Scranton–Wilkes-Barre, PA MSA",553885,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,36.1451936567449,33.0557042750857,,,0.479763876541166,3.40662978634126,0.524556907668175,,,,,0.0779025345800126,9.91181430657522
"Modesto, CA MSA",550660,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,40.0223748128702,24.6745598165918,,,0.320804423172635,0.546348585958864,0.358924938538332,,,,,0.983094228691613,1.81473887257338
"Lansing-East Lansing, MI MSA",550391,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,42.8588651980436,23.1380365347943,,,0.412443172156622,2.4348468453078,0.484509268189047,,,,,0.971488726476238,1.879515162223
"Lancaster, PA MSA",545724,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,50.1733707982031,14.9681806997808,,,0.590848464587534,0.296377476393332,0.647201705684242,,,,,0.999465885359211,9.67534954849638
"Portland-South Portland, ME MSA",538500,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,46.3547978097688,1.92650443863349,,,4.03274818973648,0.440057198520387,0.930441518887038,,,,,0.0762163621049356,5.67422921577947
"Youngstown-Warren-Boardman, OH-PA MSA",536081,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,43.9043209448995,15.9991674976926,,,0.493664560196768,0.180152335828494,0.635913167747951,,,,,0.952222502140286,8.54025637592041
"Fayetteville-Springdale-Rogers, AR MSA",534904,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,47.2260559382202,12.1231760157323,45.2571668932682,,0.962295407630306,8.76139685267215,0.681305421853456,0.028018702274586,0.692468438885018,,,0.0459526457242168,2.30512369531478
"Fayetteville, NC MSA",526719,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,43.0783101306639,4.87257892878881,,,0.442272003397649,0.0619589939693452,0.633701952311171,,,,,0.993286202256451,3.61899287141539
"Lexington-Fayette, KY MSA",517056,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,34.3411837674361,28.4106827656314,,,0.315866369487173,2.202697160217,0.345340195853579,,,,,0.98522160759616,1.21746375004906
"Pensacola-Ferry Pass-Brent, FL MSA",502629,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,38.5667153705639,26.9923635489819,,,0.408290522267022,8.96120619220286,0.453132621482742,,,,,0.287967143486969,2.15098690896231
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC MSA",496901,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,40.1469245264112,7.89897253706133,40.1094162635339,,0.490030154291827,0.0437133709676208,0.957935275899267,0.0362491317942103,0.461844308762247,,,0.39637592898879,5.45976935067818
"Santa Rosa-Petaluma, CA MSA",494336,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,28.9062767961021,31.577029108817,,,0.287406128568788,8.95534164676136,0.304038136689991,,,,,0.695871315335949,1.34711988343119
"Port St. Lucie, FL MSA",489297,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,49.2132082760469,4.69535217439809,31.1820545353487,,1.0144426971936,0.11766445444854,0.924080426156002,0.17492036417071,0.746224967416951,,,0.32944797892015,4.78968737602988
"Lafayette, LA MSA",489207,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,46.906756778452,20.9882239758852,27.7370300835863,,0.539190456318558,8.34185404312143,0.647176444043489,9.70049025619053,0.486289901126606,,,0.852521734315965,1.67043250771985
"Reno, NV MSA",475642,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,34.9107236105197,28.3044705867355,,,0.337843644085773,0.311833708217885,0.442523853861805,,,,,0.89498896767777,2.53031584677693
"Huntsville, AL MSA",471824,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,45.3640689603722,15.7138194463085,45.8033866346344,,0.553984151631515,1.82742801108996,0.605531364230265,4.28104132919393,0.457955604336137,,,0.670315028136601,2.19822625549864
"Springfield, MO MSA",470300,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,42.8793577918802,14.554328588078,,,0.430865060513407,1.90429719961055,0.473938247394365,,,,,0.998968494890953,1.6824779525275
"Visalia, CA MSA",466195,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,36.6911448431745,35.6119163143869,,,0.302002455664213,4.96551124397314,0.319366555397076,,,,,0.934969714802587,1.81546594043777
"Asheville, NC MSA",462680,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,51.8426775203916,8.17472785738442,,,1.66654843876598,8.26905717311928,0.76411844248434,,,,,0.028082930222322,2.29267296256731
"Killeen-Temple, TX MSA",460303,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,44.0496268836927,13.7942794133029,,,0.43790451226972,0.196326088668663,0.545015901656965,,,,,0.656104109146269,0.841937010169784
"York-Hanover, PA MSA",449058,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,42.0401311134554,26.8452326626901,,,0.360354086166737,1.99568005958676,0.433635710735662,,,,,0.977519553383467,3.49613419211564
"Vallejo, CA MSA",447643,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,29.5403760546376,1.76175005780657,,,11.002805955711,8.74457588551227,0.973406008714864,,,,,0.0196461144094635,0.365936564578807
"Santa Maria-Santa Barbara, CA MSA",446499,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,45.2045072442432,6.16851567945739,,,1.18608444001359,0.232479393404124,0.787726697542646,,,,,0.067142009968189,1.05587023827469
"Salinas, CA MSA",434061,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,50.3617648677324,5.78063456454441,,,1.01196080934525,7.01153432150892,0.66505276588804,,,,,0.872563275386368,3.38215729765405
"Salem, OR MSA",433903,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,39.3502689910898,22.9818991300557,,,0.392285055982295,8.20114244818423,0.442708315772232,,,,,0.992691943592059,3.98894914305756
"Mobile, AL MSA",429536,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,43.1877244366189,30.9018429751324,,,0.353600184631232,6.04601810650983,0.410534430760159,,,,,0.986035493775647,5.01111365490234
"Corpus Christi, TX MSA",429024,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,59.4452695568269,0.846794117845087,,,10.6872335664189,7.75585319174686,0.976500061397699,,,,,0.847632300754255,0.784569406694834
"Brownsville-Harlingen, TX MSA",423163,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,46.7476504079537,22.412530031737,,,0.372445472187236,1.88340155876774,0.405273259880283,,,,,0.968125489165121,0.584626920970088
"Reading, PA MSA",421164,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,38.5304564596148,38.5488351148993,,,0.346932298817502,8.05180105682555,0.464341322312796,,,,,0.87754376430209,5.35266495169172
"Gulfport-Biloxi, MS MSA",417665,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,50.267148186412,1.79054969039873,,,2.12987529711666,0.443809692741074,0.8703626999168,,,,,0.766339540531614,1.82292395371881
"Manchester-Nashua, NH MSA",417025,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,28.3953748056134,37.9841263428564,,,0.378337896237776,8.5052390729641,0.364364649149324,,,,,0.0448849266417277,7.91519655140319
"Salisbury, MD-DE MSA",415726,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,46.777462312802,0.213028512165052,,,3.11164922655907,0.267534070942426,0.87807838420942,,,,,0.0473097413530238,3.70374298142381
"Fort Wayne, IN MSA",413263,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,48.920042693037,4.800541678357,,,1.15629823863445,0.180793897493179,0.792804449262681,,,,,0.0713529227126996,3.80152585651875
"Flint, MI MSA",405813,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,53.8002164734052,2.28194759070185,,,2.05673455592629,0.290006752441707,0.890273388038914,,,,,0.977586962716036,1.1816359567485
"Peoria, IL MSA",400561,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,44.9999943365764,4.96363818029729,,,0.429446990605269,0.0816495135364437,0.603284682594601,,,,,0.959429300345136,3.3861523507342
"Canton-Massillon, OH MSA",397520,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,19.2211881356602,48.6697237804175,,,0.311040300790099,2.60431318127316,0.33350749496025,,,,,0.0300074380486037,4.04620592964321
"Anchorage, AK MSA",396317,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,33.4920306835311,26.3152047497461,57.527847108594,,0.621306194861626,4.57319517152736,0.530328444562398,2.88683814661847,0.0314054648545898,,,0.00236658858966189,5.25446743788011
"Shreveport-Bossier City, LA MSA",394706,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,43.8672165731078,16.7322233653053,,,0.55664952196411,0.354926862004779,0.620926029883506,,,,,0.942879588216504,1.7862850193197
"Savannah, GA MSA",393353,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,53.3131662375624,1.40740164176421,,,1.69442192925102,0.302179155107165,0.851507884897318,,,,,0.979249171646896,1.90303759799897
"Beaumont-Port Arthur, TX MSA",392563,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,59.7446550639807,1.06741054076786,,,13.5168518536801,8.32789509048433,0.99239223697807,,,,,0.82464592764392,0.929072759105395
"Tallahassee, FL MSA",387227,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,42.7574683515399,30.9131579328246,,,0.315249698072557,3.56187332243287,0.375250697116032,,,,,0.976796178945705,1.67756443704226
"Naples-Marco Island, FL MSA",384902,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,33.5829273262007,20.6638010899142,39.1668643874393,,0.483807922509677,0.117144160537276,0.688256827050214,1.75114029874297,0.424322921682209,,,0.071066429295065,5.90099226960353
"Eugene-Springfield, OR MSA",382067,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,49.9888103478394,1.97500150092654,,,0.978478017186501,0.27453352168656,0.770589114043926,,,,,0.62295926171537,0.938097356150981
"Davenport-Moline-Rock Island, IA-IL MSA",379172,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,54.7060554825779,1.04472001596317,,,1.12107224673959,0.130760826710201,0.847181415168511,,,,,0.872150531602929,4.88769027251856
"Montgomery, AL MSA",373290,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,43.653645701077,4.25199026249504,,,0.870828305216572,0.156238427726585,0.729956533161885,,,,,0.197545811173325,4.44555186229401
"Hickory-Lenoir-Morganton, NC MSA",369711,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,55.2170253440079,5.70181933766635,,,1.11037831759025,9.46867482608302,0.677722853452623,,,,,0.795264155717529,2.82996300664995
"Ann Arbor, MI MSA",367601,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,40.8565380015815,22.6105162536678,,,0.453117224551711,4.2962171807899,0.512188148668901,,,,,0.920499982492863,0.829905699720992
"Trenton-Princeton, NJ MSA",367430,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,45.0384265996455,2.7156611115655,,,0.818401340266785,0.0759468077521015,0.824557219802785,,,,,0.855992399552271,8.20763911429577
"Ocala, FL MSA",365579,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,52.7762452773726,4.47586034335523,67.2731638459232,,0.778518778796642,0.164034808866807,0.781458124464463,2.4617166478037,0.538229789149293,,,0.786545575971757,2.86520786374407
"Fort Collins, CO MSA",356899,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,38.1251292865217,19.7081414246413,,,0.669534071275702,9.15695020729211,0.587890648645591,,,,,0.0239235113826485,6.32189236635514
"Huntington-Ashland, WV-KY-OH MSA",355873,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,51.361704915233,21.451325154968,,,0.379945697792337,5.42417217083371,0.466165615625172,,,,,0.995732724922437,1.70500343325285
"Lincoln, NE MSA",336374,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,48.9486991117461,0.423756991652421,,,2.01129319158825,0.222385700047696,0.838086821269027,,,,,0.0211569661861851,2.70028498879665
"Rockford, IL MSA",336116,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,41.0965147043419,8.04135809764089,,,0.620746497437349,0.12362597347666,0.575320789215225,,,,,0.038551259864681,4.68219639584978
"Gainesville, FL MSA",329128,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,31.8701269464179,25.9511675923554,72.4885389368934,,0.522956052515883,6.78824777808892,0.531266832735645,6.06953808813675,0.198405525868365,,,0.0177044410633406,3.87634857201184
"Boulder, CO MSA",326196,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,43.8714591409882,6.52180145191848,85.3693690157022,,1.87307912212006,0.539928468048647,0.800859581250817,1.99878897583296,0.54536619491105,,,0.013911172455849,6.4737185381085
"Greeley, CO MSA",324492,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,43.7787848942273,0.324145562702784,,,2.28726764191301,0.165308253006066,0.885347623713606,,,,,0.0437741856413628,7.98186590207373
"South Bend-Mishawaka, IN-MI MSA",323613,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,43.9644894557761,11.6560785886475,,,0.485782688585459,0.0928619338685128,0.658230794110663,,,,,0.463074079179745,5.14675954497315
"Green Bay, WI MSA",322906,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,44.2381135457635,47.4473449705415,,,0.289512953483423,6.48016762094555,0.416778800396027,,,,,0.976969703168929,2.38206134885466
"Lubbock, TX MSA",322257,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,46.3079672664602,18.0869753785965,65.3149112134427,,0.441115300582723,0.255449411110464,0.604948395344303,8.27886298769493,0.209703739420155,,,0.951849943594473,2.15454769116528
"Columbus, GA-AL MSA",321048,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,33.1094631021409,42.4205816566631,26.0992174300794,,0.358997508864884,9.73255721249602,0.475786740514261,2.94010113668068,0.278024789608588,,,0.0480246706650112,4.94428802129484
"Spartanburg, SC MSA",319785,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,41.0911336338365,31.8874649788882,4.46897527714155,,0.333534123692364,0.621492409248663,0.785221584563063,0.0888681981160377,0.417142243713727,,,0.62307350928537,2.85523699890296
"Evansville, IN-KY MSA",315086,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,50.3957784199477,3.67955054957099,,,0.729384337070037,0.124907591821522,0.760747018500642,,,,,0.904066394028188,4.88303292988493
"Roanoke, VA MSA",313222,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,53.1826776714202,12.9335228714262,,,0.504272979375774,9.2287800210583,0.500866376855758,,,,,0.98581186685383,1.16154740903875
"Clarksville, TN-KY MSA",307820,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,43.0215106122763,25.615879848041,20.6518428490206,,0.341350318403993,0.145509195759524,0.756292871987556,0.468468385036225,0.391800648056319,,,0.801375932909462,3.62987732844881
"Kingsport-Bristol, TN-VA MSA",307202,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,41.8342180827264,25.5192688744846,,,0.347291331878196,0.512691092332104,0.47726739173037,,,,,0.334094551660834,1.28310660075994
"Kennewick-Richland, WA MSA",299612,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,48.3521830401595,14.5189200021515,,,0.608009777694478,6.08160781763951,0.557514601749128,,,,,0.898219070284621,1.37014957889333
"Wilmington, NC MSA",297533,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,51.6272428839081,7.33762160902713,,,0.648539223121053,9.42395471670796,0.549726722869063,,,,,0.920403401616583,2.60456677565915
"Olympia-Lacey-Tumwater, WA MSA",290536,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,38.0228377281422,23.3873704966203,,,0.306895103786629,7.49058306961255,0.364416915913528,,,,,0.971582430051039,1.41980426296494
"Utica-Rome, NY MSA",289990,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,43.5055942961392,20.2775940257789,,,0.383385237046451,0.190748388151868,0.520574277705477,,,,,0.860332003980392,4.45517808582949
"Duluth, MN-WI MSA",288732,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,52.4867364857946,1.42403333198365,,,0.868088482180375,0.148046440677685,0.7966876697389,,,,,0.908927101578471,4.53579837531193
"Hagerstown-Martinsburg, MD-WV MSA",288104,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,54.3893192844812,2.80511230760003,,,2.08475107204595,0.28419186194217,0.879088194330389,,,,,0.0889928137450831,3.12448025470889
"Longview, TX MSA",286657,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,43.2095285838642,28.2015086341308,,,0.28066286867076,8.06717393831843,0.281267491802272,,,,,0.961687324977624,0.723196644765121
"Crestview-Fort Walton Beach-Destin, FL MSA",284809,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,40.1890741236622,17.2779894988022,,,0.43307036357185,5.46065674899683,0.45821464884634,,,,,0.518527676648483,2.73802885811723
"San Luis Obispo-Paso Robles, CA MSA",283111,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,47.716139400874,6.20450407755399,,,1.05011948546895,7.63341983619864,0.701731201062897,,,,,0.915414239562641,2.03680067893173
"Merced, CA MSA",277680,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,60.2699821825921,0.797857374067595,,,10.6927172387182,6.37465478162296,0.977102083973992,,,,,0.848088652465053,0.716907436823815
"Laredo, TX MSA",276652,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,50.9003523445462,12.0609650059896,,,0.549770270177969,0.443679903210106,0.590428788628872,,,,,0.984522000540104,1.00722446543541
"Waco, TX MSA",273920,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,52.8218884988281,1.22729740206117,74.1470679246203,,9.04301911322704,9.16475908828937,0.979864612995309,8.73821428146831,0.907723038254737,,,0.54149420870074,1.73543023248934
"Santa Cruz-Watsonville, CA MSA",273213,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,39.1753580975227,17.9825666844128,,,0.382252300415707,5.99946015313031,0.431730399408742,,,,,0.722293867703749,1.19122154857763
"Cedar Rapids, IA MSA",273032,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,43.1181591739227,21.0244772315228,59.4407375658935,,0.707631378888305,7.72376907125454,0.519226601627827,0.0926665159452835,0.183937376204797,,,0.0124994636177621,3.21940491534063
"Bremerton-Silverdale-Port Orchard, WA MSA",271473,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,36.5797627616869,27.7133172852186,58.2719856881097,,0.320366351287722,4.45294801247675,0.503243458413906,9.06045741750372,0.173464614913026,,,0.945156557610893,1.88415645089242
"Erie, PA MSA",269728,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,51.9236360260581,3.24942576782706,,,2.03192722272243,0.521135403957011,0.836762226310069,,,,,0.0561328738976651,2.86134970026998
"Sioux Falls, SD MSA",268232,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,40.1818816226465,40.4449879998899,,,0.331156374394986,4.23994259100026,0.456352004872079,,,,,0.925796419686325,3.05285997178825
"Norwich-New London, CT MSA",265206,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,51.6053762378423,3.29933609746704,,,0.849599194514353,0.113386096221049,0.795328412951868,,,,,0.44027963217853,1.54169668908237
"Kalamazoo-Portage, MI MSA",265066,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,55.7422108863571,3.03664601181613,,,4.64330710225699,0.933306653148132,0.903406595820294,,,,,0.0197837598774319,2.54410467207712
"Amarillo, TX MSA",265053,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,39.5890246107252,27.4772724108074,,,0.43441176381316,8.58062773036292,0.301645012875258,,,,,0.0362619638281353,0.535700500580786
"College Station-Bryan, TX MSA",264728,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,52.8138479952743,1.39614223979638,,,5.85715150688394,9.99880241515094,0.926480851933854,,,,,0.915840958423609,1.48620581236856
"Atlantic City-Hammonton, NJ MSA",263670,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,50.0766373957494,0.339520413097406,,,0.753070255709996,0.0730609576004901,0.79727780524435,,,,,0.844065162576389,3.99619012375178
"Lynchburg, VA MSA",263566,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,48.2717436351429,23.9864575772296,,,0.296220736254702,8.42881445197682,0.337102862736441,,,,,0.92211270578608,1.64085657749073
"Charleston, WV MSA",257074,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,52.5225282464376,1.37301445318768,,,1.07282314396105,0.157775451423428,0.83311696309582,,,,,0.906611164199623,1.86821869220089
"Tuscaloosa, AL MSA",252047,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,37.7270959380256,30.8116768686872,,,0.291195908120892,1.74975755092004,0.286911604725698,,,,,0.953116338689379,3.26109928108505
"Yakima, WA MSA",250873,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,42.1347600943898,20.978405190639,,,0.443347303689193,7.48835375288427,0.441171542689523,,,,,0.99288836565401,0.584243391340291
"Fort Smith, AR-OK MSA",250368,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,39.0648029697674,22.9935912489482,49.9489931794719,,0.541362292141058,5.47717012793661,0.555720470388827,7.25577983587829,0.326858544405192,,,0.00668131888519621,4.24967229720066
"Fargo, ND-MN MSA",246145,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,41.2577154827103,18.0960538007503,,,0.537462394609345,0.281040564031367,0.498072063431364,,,,,0.0419044109465717,7.80309630256375
