Metropolitan_Statistical_Area,lambda_MAP,lambda_low,lambda_high,HIT_MAP,HIT_low,HIT_high
"New York City-Newark-Jersey City, NY-NJ-PA MSA",1.02873698280377,0.89810292758809,1.10713604615229,0.953661512865161,0.943451161924427,0.958496731675174
"Los Angeles-Long Beach-Anaheim, CA MSA",0.276203134033568,0.250695964021442,0.296651222700519,0.763286508922716,0.740632301420391,0.779293406159828
"Chicago-Naperville-Elgin, IL-IN-WI MSA",0.381086342215946,0.325274991923618,0.41683244236921,0.830379471995623,0.799018722936157,0.846656294011963
"Dallas-Fort Worth-Arlington, TX MSA",0.377374886082791,0.279845058747197,0.435920988107872,0.828537333763967,0.766267564332643,0.854378821016658
"Houston-The Woodlands-Sugar Land, TX MSA",0.257383940980912,0.226960544252756,0.295041145822059,0.746890539055391,0.716340267555661,0.778095157163189
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",0.260270259625397,0.23432810847629,0.282948342488424,0.749518610036785,0.724250490652193,0.768761707583342
"Miami-Fort Lauderdale-West Palm Beach, FL MSA",0.347104951083356,0.294158250640151,0.397631594446751,0.812280434734903,0.777433776954278,0.838230013136824
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",0.315243349283656,0.288538592877613,0.341285196059039,0.79242970227824,0.773151036672308,0.808880926700842
"Atlanta-Sandy Springs-Alpharetta, GA MSA",0.314281828640723,0.249371399272459,0.344348623203946,0.791780539642217,0.739364079208033,0.810682184703808
"Phoenix-Mesa-Chandler, AZ MSA",0.322680334887172,0.273070859039776,0.375021700277251,0.79734602915822,0.760674811570627,0.827353241076378
"Boston-Cambridge-Newton, MA-NH MSA",0.24232855162586,0.228137384280476,0.249790763540455,0.732454531035222,0.717627554196125,0.739766654942978
"San Francisco-Oakland-Berkeley, CA MSA",0.331196550363584,0.269005249568128,0.501497535655326,0.802756685607357,0.757217134406421,0.87679946753686
"Riverside-San Bernardino-Ontario, CA MSA",0.270545348786656,0.230878423272725,0.311674611777239,0.7585360782097,0.720590470456879,0.790004302549851
"Detroit–Warren–Dearborn, MI MSA",0.553131166070034,0.395715654910669,0.633983657818737,0.890922116428294,0.837350047242879,0.908518254021828
"Seattle-Tacoma-Bellevue, WA MSA",0.744361578681669,0.442065988365272,0.897424818996598,0.92630314772062,0.856737404510616,0.943389476038238
"Minneapolis-St. Paul-Bloomington, MN-WI MSA",0.455563726542096,0.279648604281827,0.65217205841136,0.861715463111091,0.766108258960886,0.911875290483081
"San Diego-Chula Vista-Carlsbad, CA MSA",0.246811663107404,0.200184965343551,0.259969524110612,0.736885508561479,0.684356408279,0.749246780872616
"Tampa-St. Petersburg-Clearwater, FL MSA",0.291270192324424,0.23296801491679,0.35335944158624,0.775248699674707,0.72281651594294,0.815830300371067
"Denver-Aurora-Lakewood, CO MSA",0.260527091937815,0.232297093055213,0.289351904425369,0.749750390855331,0.722104828701236,0.773778782447291
"St. Louis, MO-IL MSA",0.375759872017757,0.291349700227358,0.419655046339456,0.827726040679626,0.775309301897908,0.847837587813269
"Baltimore-Columbia-Towson, MD MSA",0.303886346613102,0.254176595082432,0.342422561862859,0.784555391199429,0.743919159334975,0.809552779649674
"Charlotte-Concord-Gastonia, NC-SC MSA",0.399466347481053,0.311939342474549,0.503982777208747,0.839065800797884,0.790185731849924,0.877542269285919
"Orlando-Kissimmee-Sanford, FL MSA",0.616147410078139,0.259960885278442,0.698469722290243,0.905031589541127,0.749238965571542,0.91961473233914
"San Antonio-New Braunfels, TX MSA",0.161443704649257,0.143980992488671,0.180024862247927,0.626846026015403,0.595271187946929,0.656337422264117
"Portland-Vancouver-Hillsboro, OR-WA MSA",0.241180001089958,0.206976597711458,0.280288324805591,0.731300483981935,0.692988708756429,0.766626387704296
