Metropolitan_Statistical_Area,Detected_cumulative_newCases,Inferred_cumulative_newCases,Vaccinations_completed,Vaccinations_countdown
"New York City-Newark-Jersey City, NY-NJ-PA MSA",552976,560636,4994495,14391042
"Los Angeles-Long Beach-Anaheim, CA MSA",314970,311551,5772088,4440957
"Chicago-Naperville-Elgin, IL-IN-WI MSA",226928,226452,3943674,4157294
"Dallas-Fort Worth-Arlington, TX MSA",169568,168449,2652280,3857398
"Houston-The Woodlands-Sugar Land, TX MSA",191766,346537,2508641,2953413
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",117134,117159,2488185,3390311
"Miami-Fort Lauderdale-West Palm Beach, FL MSA",242953,241401,1876073,3298851
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",107018,106726,2313817,2642967
"Atlanta-Sandy Springs-Alpharetta, GA MSA",142451,140579,1720207,3173081
"Phoenix-Mesa-Chandler, AZ MSA",150381,148285,1693670,2732665
"Boston-Cambridge-Newton, MA-NH MSA",91753,99491,2457337,2450916
"San Francisco-Oakland-Berkeley, CA MSA",63739,62590,2624111,539839
"Riverside-San Bernardino-Ontario, CA MSA",110068,108501,1506194,2144543
"Detroit–Warren–Dearborn, MI MSA",72047,72171,1709169,2355956
"Seattle-Tacoma-Bellevue, WA MSA",37702,37762,1795519,2261411
"Minneapolis-St. Paul-Bloomington, MN-WI MSA",62124,61616,1690823,1404271
"San Diego-Chula Vista-Carlsbad, CA MSA",44988,44605,1544062,1709956
"Tampa-St. Petersburg-Clearwater, FL MSA",74383,68283,1105281,1501528
"Denver-Aurora-Lakewood, CO MSA",38934,39198,1009479,1276028
"St. Louis, MO-IL MSA",59350,59541,969836,1513741
"Baltimore-Columbia-Towson, MD MSA",37660,38588,1022220,1263183
"Charlotte-Concord-Gastonia, NC-SC MSA",57256,57350,909605,1479117
"Orlando-Kissimmee-Sanford, FL MSA",67367,67219,951858,1727766
"San Antonio-New Braunfels, TX MSA",63986,61776,899769,1746887
"Portland-Vancouver-Hillsboro, OR-WA MSA",17567,17300,1085135,734546
"Sacramento-Roseville-Folsom, CA MSA",28942,26936,931737,614813
"Pittsburgh, PA MSA",19177,19204,983618,1134216
"Las Vegas-Henderson-Paradise, NV MSA",64288,63752,737038,1112652
"Austin-Round Rock-Georgetown, TX MSA",46303,45501,941799,1341732
"Cincinnati, OH-KY-IN MSA",29123,28767,877108,1008385
"Kansas City, MO-KS MSA",31301,31418,432226,1343201
"Columbus, OH MSA",36797,36085,875404,1236291
"Indianapolis-Carmel-Anderson, IN MSA",36619,37032,816231,951644
"Cleveland-Elyria, OH MSA",23150,22936,893242,802625
"San Jose-Sunnyvale-Santa Clara, CA MSA",21821,21844,1105050,374443
"Nashville-Davidson–Murfreesboro–Franklin, TN MSA",60413,59058,648373,985068
"Virginia Beach-Norfolk-Newport News, VA-NC MSA",27284,27142,572179,880057
"Providence-Warwick, RI-MA MSA",31185,31401,744547,696345
"Milwaukee-Waukesha, WI MSA",39532,38508,602545,893044
"Jacksonville, FL MSA",42835,39135,510472,782983
"Oklahoma City, OK MSA",26847,26402,487165,877453
"Raleigh-Cary, NC MSA",22697,22376,641516,340107
"Memphis, TN-MS-AR MSA",37767,37337,324449,908922
"Richmond, VA MSA",19413,19409,493694,770938
"New Orleans-Metairie, LA MSA",42631,41213,480173,746265
"Louisville/Jefferson County, KY-IN MSA",23562,24090,507866,478821
"Salt Lake City, UT MSA",29286,29242,424159,561427
"Hartford-East Hartford-Middletown, CT MSA",17234,17600,596033,583766
"Buffalo-Niagara Falls, NY MSA",12770,12888,523049,427699
"Birmingham-Hoover, AL MSA",30783,29668,323461,788480
"Grand Rapids-Kentwood, MI MSA",13498,13540,441311,416349
"Rochester, NY MSA",7274,7270,512225,511403
"Tucson, AZ MSA",24647,23803,378332,457282
"Fresno, CA MSA",27769,27274,340183,410391
"Tulsa, OK MSA",21984,21312,322458,495770
"Urban Honolulu, HI MSA",10396,10109,427292,265206
"Omaha-Council Bluffs, NE-IA MSA",21995,21443,385023,572425
"Worcester, MA-CT MSA",15038,15781,411456,385030
"Bridgeport-Stamford-Norwalk, CT MSA",19848,20362,455933,400454
"Greenville-Anderson, SC MSA",22190,21615,282189,596277
"Albuquerque, NM MSA",8237,8245,423126,229419
"Bakersfield, CA MSA",31572,28686,258308,573948
"Albany-Schenectady-Troy, NY MSA",6395,6322,459367,323258
"Knoxville, TN MSA",16196,16238,306029,368029
"McAllen-Edinburg-Mission, TX MSA",30683,29635,364888,526570
"Baton Rouge, LA MSA",28480,27613,260845,562686
"New Haven-Milford, CT MSA",14261,14349,407205,402594
"Oxnard-Thousand Oaks-Ventura, CA MSA",12406,12242,383280,281612
"El Paso, TX MSA",22697,22865,376751,206788
"Allentown-Bethlehem-Easton, PA-NJ MSA",11783,11987,358070,351121
"Columbia, SC MSA",24962,25443,271317,362652
"North Port-Sarasota-Bradenton, FL MSA",19144,17775,356734,235927
"Dayton-Kettering, OH MSA",10266,10255,301331,487927
"Charleston-North Charleston, SC MSA",24884,25545,279637,465686
"Greensboro-High Point, NC MSA",12024,12139,293355,491168
"Cape Coral-Fort Myers, FL MSA",20024,19663,294469,361512
"Stockton, CA MSA",19841,19978,241482,398080
"Boise City, ID MSA",21011,21343,268641,511297
"Colorado Springs, CO MSA",6927,6886,224573,450426
"Little Rock-North Little Rock-Conway, AR MSA",14272,14637,239425,374557
"Lakeland-Winter Haven, FL MSA",19243,17963,209046,557206
"Akron, OH MSA",6235,6261,294686,296064
"Des Moines-West Des Moines, IA MSA",20205,20035,295176,272038
"Springfield, MA MSA",9620,10006,285028,342764
"Ogden-Clearfield, UT MSA",9287,9212,212030,390768
"Poughkeepsie-Newburgh-Middletown, NY MSA",16913,17083,277823,345456
"Winston-Salem, NC MSA",11097,11179,249732,266976
"Deltona-Daytona Beach-Ormond Beach, FL MSA",12199,11472,240842,253070
"Madison, WI MSA",10548,10567,323801,282961
"Syracuse, NY MSA",5175,5212,316751,309619
"Provo-Orem, UT MSA",15948,15865,172997,337947
"Durham-Chapel Hill, NC MSA",13850,13788,311424,260709
"Toledo, OH MSA",9111,8878,239906,316268
"Wichita, KS MSA",9885,10127,196560,341589
