Metropolitan_Statistical_Area,Detected_cumulative_newCases,Vaccinations_completed,Vaccinations_countdown
"New York City-Newark-Jersey City, NY-NJ-PA MSA",2308369,5438375,14120161
"Los Angeles-Long Beach-Anaheim, CA MSA",1519624,6292690,3237892
"Chicago-Naperville-Elgin, IL-IN-WI MSA",1025150,4373700,3417049
"Dallas-Fort Worth-Arlington, TX MSA",836063,2859858,3483071
"Houston-The Woodlands-Sugar Land, TX MSA",626351,2733442,2491050
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",414757,2726412,1970101
"Miami-Fort Lauderdale-West Palm Beach, FL MSA",741491,2000232,3064513
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",585806,2518726,2299453
"Atlanta-Sandy Springs-Alpharetta, GA MSA",611256,1922476,2916184
"Phoenix-Mesa-Chandler, AZ MSA",608070,1799507,2117690
"Boston-Cambridge-Newton, MA-NH MSA",464436,2699402,572882
"San Francisco-Oakland-Berkeley, CA MSA",253653,2832891,913005
"Riverside-San Bernardino-Ontario, CA MSA",600288,1635427,1792339
"Detroit–Warren–Dearborn, MI MSA",429068,1824275,2140375
"Seattle-Tacoma-Bellevue, WA MSA",206872,1955799,1885949
"Minneapolis-St. Paul-Bloomington, MN-WI MSA",377486,1815160,1337619
"San Diego-Chula Vista-Carlsbad, CA MSA",281266,1712552,626295
"Tampa-St. Petersburg-Clearwater, FL MSA",281015,1155435,1340667
"Denver-Aurora-Lakewood, CO MSA",286382,1117513,1079057
"St. Louis, MO-IL MSA",300044,1034390,1319182
"Baltimore-Columbia-Towson, MD MSA",158179,1126694,1119028
"Charlotte-Concord-Gastonia, NC-SC MSA",284292,959299,1296257
"Orlando-Kissimmee-Sanford, FL MSA",254089,1006063,1453005
"San Antonio-New Braunfels, TX MSA",271247,965899,485148
"Portland-Vancouver-Hillsboro, OR-WA MSA",118031,1221734,591545
"Sacramento-Roseville-Folsom, CA MSA",154995,1023555,497901
"Las Vegas-Henderson-Paradise, NV MSA",206209,1061270,838459
"Pittsburgh, PA MSA",253969,785901,981791
"Austin-Round Rock-Georgetown, TX MSA",167723,1013673,968366
"Cincinnati, OH-KY-IN MSA",223361,932184,1205157
"Kansas City, MO-KS MSA",159859,455283,1425417
